CoinName,Algorithm,ProofType,TotalCoinSupply,TotalCoinsMined,Class
HTML5 Coin,X15,PoW/PoS,90000000000.0,40659020000.0,0
Ultimate Secure Cash,SHA-256,PoS,200084200.0,10343113.0,0
EquiTrader,Scrypt,PoW,72000000.0,13673406.4325268,1
QTUM,POS 3.0,PoS,100000000.0,100000000.0,0
Quantum Resistant Ledger,CryptoNight-V7,PoW,105000000.0,69036016.8340164,1
Espers,536,PoW/PoS,50000000000.0,22801882871.0,0
Dynamic,Argon2d,PoW,0.0,19784224.6512734,1
Nano,Blake2b,PoW,340282367.0,133248297.0,1
ChanCoin,Cloverhash,PoW,30000000.0,18407259.0885883,1
Dinastycoin,CryptoNight,PoW,2000000000.0,1809467143.0,1
Denarius,NIST5,PoW/PoS,10000000.0,4171382.0,0
DigitalPrice,X11,PoW,100000000.0,35138975.0,1
Virta Unique Coin,NIST5,PoW/PoS,120000000.0,62942075.0,0
Bitcoin Planet,Skein,PoW/PoS,100000000.0,6804362.0,0
Unify,Scrypt,PoW,19276800.0,18133195.0,1
BritCoin,X13,PoW/PoS,30000000.0,21268092.0,0
SocialCoin,Scrypt,PoW,75000000.0,5167775.0,1
ArcticCoin,X11,PoW,60000000.0,26042364.373555303,1
DAS,X11,PoW,18900000.0,2622886.0,1
Linda,Scrypt,PoW/PoS,50000000000.0,9044930943.24243,0
LeviarCoin,CryptoNight,PoW,54000000.0,14161803.0,1
DeepOnion,X13,PoW/PoS,18898187.6216583,21917018.0492836,0
Bitcore,Time Travel,PoW,21000000.0,17801865.1605478,1
gCn Coin,Scrypt,PoW,200000000000.0,163055097500.0,1
SmartCash,Keccak,PoW,5000000000.0,2241009149.22257,1
Signatum,SkunkHash v2 Raptor,PoS,137500000.0,107972766.0,0
Onix,X11,PoW,1100000000.0,122475638.389743,1
Cream,Skein,PoW/PoS,100000000.0,47331802.477423795,0
Bitcoin Cash,SHA-256,PoW,21000000.0,17995589.6469082,1
Monoeci,X11,PoW/PoS,9507271.0,12569262.535930699,0
Draftcoin,Scrypt,PoS,17405891.19707116,18663297.348979898,0
Vechain,VeChainThor Authority,Proof of Authority,86712634466.0,55454734800.0,0
Sojourn Coin,Scrypt,PoW,10500000000.0,485214.0,1
Stakecoin,PoS,PoS,61599965.0,4000000.0,0
NewYorkCoin,Scrypt,PoW,0.0,143006669741.68698,1
FrazCoin,Scrypt,PoW,20000000.0,9704042.0,1
Kronecoin,Scrypt,PoW,84000000.0,17453749.4042601,1
AdCoin,Scrypt,PoW,100000000.0,32646731.063036,1
Linx,Scrypt,PoW,100000000.0,33716526.0,1
CoinonatX,Scrypt,PoW/PoS,48252000.0,19539588.0,0
Ethereum Dark,Scrypt,PoW/PoS,4200000.0,4200000.0,0
Sumokoin,CryptoNight,PoW,88888888.0,8946653.0,1
Obsidian,SHA-512,PoS,91388946.0,25000000.0,0
Cardano,Ouroboros,PoS,45000000000.0,25927070538.0,0
Regalcoin,X11,PoW/PoS,27000000.0,7262402.04264803,0
BitcoinZ,Equihash,PoW,21000000000.0,5211553258.01514,1
TrezarCoin,NeoScrypt,PoW/PoS,400000000.0,182638400.0,0
Elements,X11,PoW,1800000000.0,2702855668.85288,1
TerraNovaCoin,Scrypt,PoW/PoS,15733333.0,1140734.91680375,0
VIVO Coin,NeoScrypt,PoW,27000000.0,4165967.57499639,1
Rupee,Lyra2REv2,PoS,24000000.0,24000000.0,0
Bitcoin Gold,Equihash,PoW,21000000.0,17202361.088994,1
WomenCoin,Scrypt,PoW/PoS,25000000000.0,48459472454.0,0
Theresa May Coin,SHA-256,PoW/PoS,100000000.0,92050800.0,0
NamoCoin,NIST5,PoW/PoS,1200000000.0,560563220.0,0
LUXCoin,PHI1612,PoW/PoS,60000000.0,8305775.31777569,0
Pirl,Dagger,PoW,156306732.71,33986980.0,1
Xios,Scrypt,PoW/PoS,21000000.0,2149688.0,0
Bitcloud 2.0,Quark,PoW/PoS,200000000.0,30711550.5294042,0
eBoost,Scrypt,PoW,100000000.0,99990001.493466,1
KekCoin,POS 2.0,PoS,21000000.0,12330806.30517,0
BlackholeCoin,Scrypt,PoW/PoS,14788275.990999999,16362544.992,0
Infinity Economics,SHA-256,PoS,9000000000.0,8999999990.0,0
Pura,X11,PoW,350000000.0,175215859.0,1
Innova,NeoScrypt,PoW,45000000.0,6375259.04,1
Ellaism,Ethash,PoW,280000000.0,12756367.0,1
GoByte,NeoScrypt,PoW,31800000.0,5832306.875,1
Magnet,X11,PoW/PoS,144000000.0,38198594.8342105,0
Lamden Tau,DPoS,DPoS,500000000.0,288090567.493887,0
Electra,NIST5,PoW/PoS,30000000000.0,28399150208.0,0
Bitcoin Diamond,X13,PoW/PoS,210000000.0,183534024.88980702,0
SHIELD,Multiple,PoW,660000000.0,481730566.566176,1
Cash & Back Coin,Scrypt,PoW/PoS,210000000.0,110976977.29338,0
UltraNote,CryptoNight,PoW,85000000000.0,19281821413.4924,1
BitCoal,CryptoNight,PoW,12500000.0,4500000.0,1
DaxxCoin,Ethash,PoW,10000000000.0,520891780.0,1
Bulwark,NIST5,PoS,27716121.0,13247178.880728599,0
Kalkulus,Quark,PoS,20000000.0,16955764.902064003,0
AC3,X11,PoW,550000000.0,80316207.0,1
Lethean,CryptoNight-V7,PoW,999481516.0,441250233.377,1
GermanCoin,Scrypt,PoW/PoS,50000000000.0,4911500269.41,0
LiteCoin Ultra,Scrypt,PoW/PoS,150000000.0,8419402.321,0
PopularCoin,Scrypt,PoW,4999999999.0,3964201248.87125,1
PhantomX,X11,PoW/PoS,50000000.0,45174214.1078625,0
Photon,BLAKE256,PoW,90000000000.0,30089671530.5228,1
Sucre,X11,PoW,19800000.0,4229040.50393462,1
SparksPay,NeoScrypt,PoW,21000000.0,7847417.33355824,1
Digiwage,Quark,PoS,120000000.0,27299680.0,0
GunCoin,NeoScrypt,PoW,500000000.0,299797953.0,1
IrishCoin,Scrypt,PoW,64000000.0,45483049.3398182,1
Trollcoin,Scrypt,PoW/PoS,900000000.0,591022748.0,0
Litecoin Plus,Scrypt,PoW/PoS,4000000.0,2504486.227718,0
Monkey Project,X11,PoS,21000000.0,4407252.0,0
Pioneer Coin,X11,PoW,23000000.0,8478104.33969947,1
UnitedBitcoin,SHA-256,PoW,20166000.0,20166000.0,1
Interzone,C11,PoW,23000000.0,11916588.09471,1
TokenPay,POS 3.0,PoS,25000000.0,20445861.534425102,0
1717 Masonic Commemorative Token,Ethash,PoS,1618033.0,1618033.0,0
My Big Coin,Scrypt,PoW and PoS,30000000.0,9399342.52839847,0
TurtleCoin,CryptoNight,PoW,1000000000000.0,53139835213.77,1
MUNcoin,SkunkHash,PoW,16600000.0,4818338.98949984,1
Unified Society USDEX,Scrypt,PoW/PoS,232000000.0,234846265.78215697,0
Niobio Cash,CryptoNight,PoW,336000000.0,133932467.77410801,1
ShareChain,Scrypt,PoW,10000000000.0,10000000000.0,1
Travelflex,Dagger,PoW,100000000.0,107325266.02778299,1
KREDS,Lyra2REv2,PoW,1100000000.0,643795911.540095,1
Tokyo Coin,X13,PoS,800000000.0,230298925.0,0
BiblePay,Proof-of-BibleHash,POBh,5200000000.0,1772091549.88818,3
LitecoinCash,SHA-256 + Hive,PoW + Hive,840000000.0,638382332.208514,0
BitFlip,Scrypt,PoW,40000000.0,12446100.00278,1
LottoCoin,Scrypt,PoW,18406979840.0,14491014421.0,1
Crypto Improvement Fund,X11,PoW,500000000.0,211297638.500483,1
Stipend,C11,PoW/PoS,19340594.0,11251342.1879021,0
Poa Network,Proof-of-Authority,PoA,252460800.0,204479039.0,0
Pushi,X11,PoW/PoS,25000000.0,2167827.1,0
Ellerium,XEVAN,PoW/PoS,60000000.0,419275.38,0
Velox,Scrypt,PoS,124000000.0,25570013.1348022,0
Ontology,VBFT,PoS,1000000000.0,650848625.0,0
Callisto Network,Ethash,PoW,6500000000.0,247612453.0,1
BitTube,CryptoNight,PoW,1000000000.0,80049082.9057215,1
Poseidon,Scrypt,PoW,21000000.0,4070212.1493015997,1
Aidos Kuneen,IMesh,PoW,25000000.0,25000000.0,1
Bitspace,NIST5,PoW/PoS,50000000.0,13787854.6277781,0
Briacoin,Scrypt,PoW/PoS,3000000.0,845637.81347436,0
Ignition,Scrypt,PoW/PoS,5000000.0,1182153.5,0
Bitrolium,Equihash,PoW,70000000.0,71355477.0,1
MedicCoin,Scrypt,PoS,500000000.0,267297676.3125,0
Alpenschillling,Lyra2Z,PoW,300000000.0,27340501.6514783,1
Bitcoin Green,Green Protocol,PoS,21000000.0,9803691.3618195,0
Deviant Coin,PoS,PoS,88000000.0,21876586.8530324,0
Abjcoin,Scrypt,PoW/PoS,30000000.0,9880502.37178894,0
Semux,Semux BFT consensus,DPoS,100000000.0,1231147.0,0
FuturoCoin,X11,PoW,100000000.0,31801461.1867843,1
Carebit,Quark,PoW/PoS,200000000.0,139739596.506702,0
Zealium,PoS,PoS,80000000.0,11075254.0929996,0
Monero Classic,CryptoNight,PoW,18400000.0,16016864.0,1
Proton,X16R,PoS,45000000.0,4403800.0,0
iDealCash,Scrypt,PoW/PoS,5121951220.0,1404157529.46026,0
Jumpcoin,NIST5,PoW,21000000.0,21069346.252259802,1
Infinex,Lyra2RE,PoW,26280000.0,5097689.71077377,1
Bitcoin Incognito,XEVAN,PoS/PoW,21000000.0,10904963.0923455,0
KEYCO,Tribus,PoW,18000000.0,795447.0,1
HollyWoodCoin,Scrypt,PoS,26000000.0,38706809.466534995,0
GINcoin,Lyra2Z,PoW,10500000.0,6986399.70430446,1
PlatinCoin,CryptoNight,PoW,600000518.0,84300.0,1
Loki,CryptoNight Heavy,PoW,150000000.0,19153632.0,1
Newton Coin,CryptoNight,PoW,184000000000.0,41294520017.0,1
Swisscoin,Scrypt,PoW/PoS,10200000000.0,10200000000.0,0
Xt3ch,Scrypt,PoS,44000000.0,7630000.0154,0
MassGrid,Jump Consistent Hash,PoW,168000000.0,135862416.039898,1
TheVig,SHA-256D,PoW/PoS,100000000.0,33238183.7225834,0
PluraCoin,CryptoNight,PoW,1000000000.0,560085952.404637,1
EmaratCoin,Scrypt,PoW/PoS,84000000.0,21599339.6728,0
Dekado,X15,PoS,90000000.0,30284196.369129,0
Lynx,Scrypt,HPoW,92000000000.0,77872059787.8998,0
Poseidon Quark,Quark,PoS,650000000.0,2716264.95302831,0
BitcoinWSpectrum,SHA-256,PoS,100262205.0,57811001.000889,0
Muse,DPoS,PoS,18081806.0,18194936.0,0
Motion,X16R,PoW,22075700.0,8125865.02097646,1
PlusOneCoin,HMQ1725,PoW,21000000.0,8645406.16776286,1
Axe,X11,PoW,21000000.0,4993030.69736615,1
Trivechain,X16R,PoW/PoS,82546564.0,36923120.6205934,0
Dystem,Quark,PoS,21000000.0,7082392.24744494,0
Giant,Quark,PoW/PoS,5151000.0,5919489.76813523,0
Peony Coin,Scrypt,PoS,16880000000.0,1042012.45227735,0
Absolute Coin,Lyra2REv2,PoW/PoS,52500000.0,13332617.9413708,0
Vitae,Quark,PoS,100000000.0,66053877.6256106,0
HexCoin,Scrypt,PoW,22105263.0,1416663.06600024,1
TPCash,Scrypt,PoW/PoS,1000000000.0,5403802.49590733,0
Webchain,CryptoNight-V7,PoW,1750000000.0,15580199.3087496,1
Ryo,Cryptonight-GPU,PoW,88188888.0,4890897.0,1
Urals Coin,XEVAN,PoW,210000000.0,14746153.0962884,1
Qwertycoin,CryptoNight Heavy,PoW,184470000000.0,99553110528.8022,1
ARENON,X11,PoS,55000000.0,19269509.94,0
EUNO,X11,PoW/PoS,50000000.0,30771125.976086702,0
MMOCoin,Scrypt,PoS,260000000.0,107763867.917675,0
Ketan,PoS,PoS,210000000.0,9327131.59708692,0
Project Pai,SHA-256,PoW,2100000000.0,2100000000.0,1
XDNA,Keccak,PoW/PoS,366000000.0,4672513.84432375,0
PAXEX,X11,PoS,100000000.0,4504639.0,0
Azart,X11,PoW,25000000.0,5015881.37315389,1
ThunderStake,Scrypt,PoW/PoS,18000000000.0,1059954080.4343901,0
Kcash,SHA-512,Zero-Knowledge Proof,1000000000.0,1000000000.0,0
Xchange,X16R,PoW,100000000.0,9753753.61515394,1
Acute Angle Cloud,ECC 256K1,DPOS,1000000000.0,1000000000.0,3
CrypticCoin,Equihash,PoW,7600000000.0,4235111504.0,1
Bettex coin,XEVAN,PoS,50000000.0,6787405.18013774,0
Actinium,Lyra2Z,PoW,84000000.0,13634850.0,1
Bitcoin SV,SHA-256,PoW,21000000.0,17992514.6469233,1
BitMoney,XEVAN,Pos,70000000000.0,208515864.36734298,0
Junson Ming Chan Coin,X11,PoS,0.0,17209923728.3266,0
FREDEnergy,CryptoNight,PoW,8080000000.0,1867054873.2839699,1
HerbCoin,Quark,PoW/PoS,54000000.0,35312185.7437239,0
Universal Molecule,Blake,PoW,105120001.44,1578281.31341127,1
Lithium,Blake,PoW,25228800.0,15846721.248274697,1
PirateCash,Equihash,PoS,105000000.0,13475920.0,1
Exosis,Exosis,PoW,21000000.0,406091.925,1
Block-Logic,Scrypt,PoW,120000000.0,35284717.173946,1
Oduwa,Scrypt,PoW/PoS,21000000.0,14777549.394076401,0
Beam,Equihash,PoW,262800000.0,35687520.0,1
Galilel,Quark,PoW/PoS,19035999.0,18265011.248600602,0
Bithereum,Equihash,PoW,30886000.0,25150787.5,1
Crypto Sports,Quark,PoS,13370000.0,1934701.67524713,0
Credit,Scrypt,PoW/PoS,74800000000.0,30825710000.0296,0
SLICE,QuBit,PoW,100000000.0,12925790.4226959,1
Dash Platinum,X11,PoS,19700000.0,715659.44237941,0
Nasdacoin,Scrypt,PoW/PoS,84000000.0,20546528.2059957,0
Beetle Coin,XEVAN,PoW/PoS,500000000.0,198938144.363399,0
Titan Coin,SHA-256D,PoW/PoS,5000000000.0,896361168.0,0
Award,X11,PoW/PoS,420000000.0,15420234.5389336,0
BLAST,SHA-256,PoW,64000000.0,52293836.62779579,1
Bitcoin Rhodium,X13,PoW,2100000.0,1170292.5,1
GlobalToken,SHA-256,PoW,168000000.0,84613099.9999955,1
Insane Coin,X11,PoW/PoS,30000000.0,23775960.3207514,0
ALAX,DPoS,DPoS,1000000000.0,1000000000.0,0
LiteDoge,Scrypt,PoW/PoS,35000000000.0,15318887081.0146,0
SolarCoin,Scrypt,PoW,98100000000.0,55565076.3863525,1
TruckCoin,X11,PoW/PoS,0.0,242574105.22384,0
UFO Coin,NeoScrypt,PoW,4000000000.0,3824685012.0,1
OrangeCoin,Scrypt,PoW/PoS,200000000.0,3537150.0,0
BlakeCoin,Blake,PoW,7000000000.0,23356790.1494191,1
BitstarCoin,Scrypt,PoW/PoS,54256119.0,20576532.0,0
NeosCoin,SHA-256,PoS,21000000.0,4392258.24647793,0
HyperCoin,Scrypt,PoW/PoS,0.0,9631199.99309942,0
PinkCoin,X11,PoW/PoS,500000000.0,436353624.49031204,0
Crypto Escudo,Scrypt,PoW,1000000000.0,780210700.0,1
AudioCoin,Scrypt,PoW/PoS,10500000000.0,980732528.97974,0
IncaKoin,SHA-256,PoW/PoS,190000000.0,17939725045.334,0
Piggy Coin,X11,PoW/PoS,1000000000.0,494240666.028571,0
Crown Coin,SHA-256,PoW,42000000.0,22986929.0854247,1
Genstake,Scrypt,PoW/PoS,15000000.0,60000000.0,0
SmileyCoin,Scrypt,PoW,50000000000.0,29583989322.9213,1
XiaoMiCoin,Scrypt,PoW/PoS,400000000.0,404316475.545465,0
Groestlcoin,Groestl,PoW,105000000.0,73298203.8873662,1
CapriCoin,X11,PoW/PoS,208000000.0,201364327.427503,0
 ClubCoin,Scrypt,PoW/PoS,160000000.0,103621876.167052,0
Radium,PoS,PoS,9000000.0,3821245.74150193,0
Bata,Scrypt,PoW,5000000.0,5052555.91981545,1
Pakcoin,Scrypt,PoW,182000000.0,69684455.4387001,1
Creditbit ,X11,Proof of Trust,16504333.0,16901016.6609755,0
OKCash,SHA-256,PoW/PoS,105000000.0,74676064.9488608,0
Lisk,DPoS,DPoS,159918400.0,120012140.0,0
HiCoin,Scrypt,PoS,10008835635.0,10000244677.7002,0
WhiteCoin,Scrypt,PoW/PoS,300000000.0,252005564.19257003,0
FriendshipCoin,NeoScrypt,PoW/PoS,60168145.0,1120385.00502,0
JoinCoin,Multiple,PoW,2800000.0,3332922.5,1
Triangles Coin,X13,PoW/PoS,120000.0,140777.753365,0
Vollar,Equihash+Scrypt,PoW,2100000000.0,100000000.0,1
EOS,DPoS,DPoS,0.0,1020544523.0722,0
Reality Clash,Ethash,PoW,24487944.0,24487944.095820397,1
Oxycoin,DPoS,DPoS,0.0,1122382283.37,0
TigerCash,SHA-256,PoS,1000000000.0,1000000000.0,0
Waves,Leased POS,LPoS,100000000.0,100000000.0,3
Particl,PoS,PoS,8634140.0,9283137.5558676,0
BitTorrent,TRC10,DPoS,990000000000.0,989988713439.649,2
Nxt,PoS,PoS/LPoS,1000000000.0,1000000000.0,0
ZEPHYR,SHA-256,DPoS,2000000000.0,1999999995.3056,0
Gapcoin,Scrypt,PoW/PoS,250000000.0,14931046.1546605,0
Beldex,CryptoNight,PoW,1400222610.0,980222595.0,1
Horizen,Equihash,PoW,21000000.0,7296537.5,1
BitcoinPlus,Scrypt,PoS,1000000.0,128326.99633965,0
